ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position
,simple,SF-491,2UUL 0.02 JUMPER WIRE,1,0,visible,"ULTRA-THIN 0.02MM JUMPER WIRE FOR PRECISION MOBILE PCB REPAIR, HIGH FLEXIBILITY, STRONG CONDUCTIVITY, EASY SOLDERING FOR IC JUMPER AND MICRO-TRACK REPAIR.","<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" tabindex=""-1"" data-turn-id=""7373706c-d288-4ef4-8a21-c05dd9eccc75"" data-testid=""conversation-turn-2"" data-scroll-anchor=""false"" data-turn=""assistant"">
<div class=""text-base my-auto mx-auto [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""2c01a6aa-5494-4cac-8cd7-f1f98fc3ddd2"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<p data-start=""61"" data-end=""219"" data-is-last-node="""" data-is-only-node="""">ULTRA-THIN 0.02MM JUMPER WIRE FOR PRECISION MOBILE PCB REPAIR, HIGH FLEXIBILITY, STRONG CONDUCTIVITY, EASY SOLDERING FOR IC JUMPER AND MICRO-TRACK REPAIR.</p>",taxable,,1,,0,0,,,,,1,,249,479,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_0_02_JUMPER_WIRE.jpg,0
,simple,SF-492,2UUL 148 PPD,1,0,visible,"HIGH-TEMPERATURE PROTECTIVE PASTE DESIGNED TO SAFEGUARD NEARBY COMPONENTS DURING SOLDERING, IC REMOVAL, AND BOARD REPAIR.","<p>HIGH-TEMPERATURE PROTECTIVE PASTE DESIGNED TO SAFEGUARD NEARBY COMPONENTS DURING SOLDERING, IC REMOVAL, AND BOARD REPAIR.</p>",taxable,,1,,0,0,,,,,1,,299,499,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_148_PPD.jpg,0
,simple,SF-493,2UUL 183 PPD,1,0,visible,"HIGH-TEMPERATURE SOLDERING PASTE DESIGNED FOR PRECISE PCB REPAIR, STRONG BONDING AND RELIABLE THERMAL PERFORMANCE.","<p>HIGH-TEMPERATURE SOLDERING PASTE DESIGNED FOR PRECISE PCB REPAIR, STRONG BONDING AND RELIABLE THERMAL PERFORMANCE.</p>",taxable,,1,,0,0,,,,,1,,299,499,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_183_PPD.jpg,0
,simple,SF-495,2UUL 183 TUBE PPD,1,0,visible,"HIGH-TEMP SOLDERING PASTE DESIGNED FOR FAST, CLEAN AND STRONG PCB REPAIR APPLICATIONS. IDEAL FOR MOBILE LOGIC BOARD WORK.","<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" tabindex=""-1"" data-turn-id=""request-WEB:d09818c6-5b76-4932-93eb-ce812a813c10-18"" data-testid=""conversation-turn-4"" data-scroll-anchor=""true"" data-turn=""assistant"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""447c0f8a-1eee-42f3-bc61-ad532aaf95cf"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" tabindex=""-1"" data-turn-id=""request-WEB:d09818c6-5b76-4932-93eb-ce812a813c10-18"" data-testid=""conversation-turn-4"" data-scroll-anchor=""true"" data-turn=""assistant"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""447c0f8a-1eee-42f3-bc61-ad532aaf95cf"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<p data-start=""0"" data-end=""128"" data-is-last-node="""" data-is-only-node="""">HIGH-TEMP SOLDERING PASTE DESIGNED FOR FAST, CLEAN AND STRONG PCB REPAIR APPLICATIONS. IDEAL FOR MOBILE LOGIC BOARD WORK.</p>",taxable,,1,,0,0,,,,,1,,279,479,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_183_TUBE_PPD.jpg,0
,simple,SF-494,2UUL 199 PPD,1,0,visible,"HIGH-TEMPERATURE SOLDERING PASTE DESIGNED FOR PRECISE PCB REPAIR, STRONG BONDING AND RELIABLE THERMAL PERFORMANCE.","<p>HIGH-TEMPERATURE SOLDERING PASTE DESIGNED FOR PRECISE PCB REPAIR, STRONG BONDING AND RELIABLE THERMAL PERFORMANCE.</p>",taxable,,1,,0,0,,,,,1,,299,499,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_199_PPD.jpg,0
,simple,SF-442,2UUL 3D TWEEZER,1,0,visible,"PRECISION 3D TWEEZER FOR MICRO REPAIR WITH ANTI-STATIC, HIGH GRIP, AND DURABLE STAINLESS-STEEL BODY. PERFECT FOR PCB, IC, AND SMALL COMPONENT HANDLING.","<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" tabindex=""-1"" data-turn-id=""8ba425b2-7112-4532-8a9a-86cb08d40d8e"" data-testid=""conversation-turn-2"" data-scroll-anchor=""true"" data-turn=""assistant"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""5d4ec9aa-f2e6-4df3-a1a7-72a45b82b214"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<p data-start=""61"" data-end=""216"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""61"" data-end=""216"" data-is-last-node="""">PRECISION 3D TWEEZER FOR MICRO REPAIR WITH ANTI-STATIC, HIGH GRIP, AND DURABLE STAINLESS-STEEL BODY. PERFECT FOR PCB, IC, AND SMALL COMPONENT HANDLING.</strong></p>",taxable,,1,,0,0,,,,,1,,449,679,TWEEZER,,,https://sparefix.co.in/uploads/media/2025/2UUL_3D.jpg,0
,simple,SF-487,2UUL 3DX TW02 STRAIGHT TWEEZER,1,0,visible,"PRECISION TWEEZER FOR MICRO REPAIR WITH ANTI-STATIC, HIGH GRIP, AND DURABLE STAINLESS-STEEL BODY. PERFECT FOR PCB, IC, AND SMALL COMPONENT HANDLING.","<p>PRECISION TWEEZER FOR MICRO REPAIR WITH ANTI-STATIC, HIGH GRIP, AND DURABLE STAINLESS-STEEL BODY. PERFECT FOR PCB, IC, AND SMALL COMPONENT HANDLING.</p>",taxable,,1,,0,0,,,,,1,,479,679,TWEEZER,,,https://sparefix.co.in/uploads/media/2025/2UUL_3DX_.jpg,0
,simple,SF-496,2UUL DW01 5IN1 WICK,1,0,visible,"2UUL 5IN1 WICK FOR MULTI-PURPOSE SOLDERING CLEANING AND DESOLDERING, DESIGNED FOR FAST SOLDER ABSORPTION AND SAFE PCB USE.","<p>2UUL 5IN1 WICK FOR MULTI-PURPOSE SOLDERING CLEANING AND DESOLDERING, DESIGNED FOR FAST SOLDER ABSORPTION AND SAFE PCB USE.</p>",taxable,,1,,0,0,,,,,1,,449,649,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_5IN1_WICK.jpg,0
,simple,SF-498,2UUL DW21 DESOLDERING WICK,1,0,visible,"HIGH-QUALITY DESOLDERING WICK FOR CLEAN AND FAST SOLDER REMOVAL. PROVIDES EXCELLENT CAPILLARY ACTION, OXIDATION-RESISTANT COPPER BRAID, AND PRE-FLUXED DESIGN FOR EFFICIENT PCB REWORK.","<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" tabindex=""-1"" data-turn-id=""1a9db731-7fcc-4bc6-92dc-c82cf7d5673c"" data-testid=""conversation-turn-2"" data-scroll-anchor=""true"" data-turn=""assistant"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""cec2a8cf-0c67-4e6a-9828-eca0af596818"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<p data-start=""66"" data-end=""253"" data-is-last-node="""" data-is-only-node="""">HIGH-QUALITY DESOLDERING WICK FOR CLEAN AND FAST SOLDER REMOVAL. PROVIDES EXCELLENT CAPILLARY ACTION, OXIDATION-RESISTANT COPPER BRAID, AND PRE-FLUXED DESIGN FOR EFFICIENT PCB REWORK.</p>",taxable,,1,,0,0,,,,,1,,219,419,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_DW21_2020_WICK.jpg,0
,simple,SF-499,2UUL GL02 BUFFER GLUE BLACK,1,0,visible,"STRONG BLACK BUFFER GLUE FOR MOBILE REPAIR, PROVIDING DURABLE BONDING, SHOCK ABSORPTION AND FAST DRY PERFORMANCE. IDEAL FOR FRAME, GLASS AND BACK COVER FIXING.","<p>STRONG BLACK BUFFER GLUE FOR MOBILE REPAIR, PROVIDING DURABLE BONDING, SHOCK ABSORPTION AND FAST DRY PERFORMANCE. IDEAL FOR FRAME, GLASS AND BACK COVER FIXING.</p>",taxable,,1,,0,0,,,,,1,,429,629,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_BUFFER_BLACK.jpg,0
,simple,SF-500,2UUL GL02 BUFFER GLUE WHITE,1,0,visible,"STRONG WHITE BUFFER GLUE FOR MOBILE REPAIR, PROVIDING DURABLE BONDING, SHOCK ABSORPTION AND FAST DRY PERFORMANCE. IDEAL FOR FRAME, GLASS AND BACK COVER FIXING.","<p>STRONG BLACK BUFFER GLUE FOR MOBILE REPAIR, PROVIDING DURABLE BONDING, SHOCK ABSORPTION AND FAST DRY PERFORMANCE. IDEAL FOR FRAME, GLASS AND BACK COVER FIXING.</p>",taxable,,1,,0,0,,,,,1,,429,629,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_BUFFER_WHITE.jpg,0
,simple,SF-513,2UUL GL03 CLEANING GEL,1,0,visible,"A SOFT SYNTHETIC-RESIN GEL FOR SAFE, EFFECTIVE CLEANING OF CAMERA LENSES, SMARTPHONE LENSES AND OTHER DELICATE OPTICAL SURFACES.","<p>A SOFT SYNTHETIC-RESIN GEL FOR SAFE, EFFECTIVE CLEANING OF CAMERA LENSES, SMARTPHONE LENSES AND OTHER DELICATE OPTICAL SURFACES</p>",taxable,,1,,0,0,,,,,1,,479,679,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_GL03_GEL.jpg,0
,simple,SF-501,2UUL GLUE GUN,1,0,visible,"2UUL HAND ACTUATED GLUE GUN IS A MANUAL GLUE DISPENSER DESIGNED FOR 30ML ADHESIVE TUBES, PROVIDING SMOOTH, CONTROLLED, AND PRECISE GLUE APPLICATION FOR MOBILE REPAIR.","<p>2UUL HAND ACTUATED GLUE GUN IS A MANUAL GLUE DISPENSER DESIGNED FOR 30ML ADHESIVE TUBES, PROVIDING SMOOTH, CONTROLLED, AND PRECISE GLUE APPLICATION FOR MOBILE REPAIR.</p>",taxable,,1,,0,0,,,,,1,,319,519,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_GLUE_GUN.jpg,0
,simple,SF-514,2UUL PB01 SOLDER BALLS,1,0,visible,HIGH-QUALITY SOLDER BALLS FOR IC REBALLING AND MICRO SOLDERING APPLICATIONS WITH CONSISTENT SIZE AND STRONG BONDING PERFORMANCE.,"<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" tabindex=""-1"" data-turn-id=""484cf471-293c-44f2-8c0b-9b61c308bf9b"" data-testid=""conversation-turn-2"" data-scroll-anchor=""true"" data-turn=""assistant"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] thread-sm:[--thread-content-margin:--spacing(6)] thread-lg:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] thread-lg:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""02591808-2a4a-45c9-85f4-4b7a261cbb25"" data-message-model-slug=""gpt-5-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[1px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<p data-start=""216"" data-end=""238"">HIGH-QUALITY SOLDER BALLS FOR IC REBALLING AND MICRO SOLDERING APPLICATIONS WITH CONSISTENT SIZE AND STRONG BONDING PERFORMANCE.</p>",taxable,,1,,0,0,,,,,1,,479,679,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_PB01_SOLDER_BALL.jpg,0
,simple,SF-515,2UUL PB02 SOLDER BALLS,1,0,visible,HIGH-QUALITY SOLDER BALLS FOR IC REBALLING AND MICRO SOLDERING APPLICATIONS WITH CONSISTENT SIZE AND STRONG BONDING PERFORMANCE.,"<p data-start=""16"" data-end=""193"">HIGH-QUALITY SOLDER BALLS FOR IC REBALLING AND MICRO SOLDERING APPLICATIONS WITH CONSISTENT SIZE AND STRONG BONDING PERFORMANCE.</p>
<p data-start=""195"" data-end=""213"">&nbsp;</p>",taxable,,1,,0,0,,,,,1,,519,719,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_PB02_SOLDER_BALL.jpg,0
,simple,SF-490,2UUL SC08 UV LIGHT,1,0,visible,"2UUL SC08 UV LIGHT IS A COMPACT, HIGH-INTENSITY UV LAMP DESIGNED FOR MOBILE REPAIR, IDEAL FOR CURING UV GLUE, INSPECTION TASKS, AND PRECISION WORK WITH FAST, STABLE OUTPUT.","<p>2UUL SC08 UV LIGHT IS A COMPACT, HIGH-INTENSITY UV LAMP DESIGNED FOR MOBILE REPAIR, IDEAL FOR CURING UV GLUE, INSPECTION TASKS, AND PRECISION WORK WITH FAST, STABLE OUTPUT.</p>",taxable,,1,,0,0,,,,,1,,439,639,FLUX&PPD,,,https://sparefix.co.in/uploads/media/2025/2UUL_SC08_LIGHT.jpg,0
