Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Regular price,Categories,Images,Meta: minimum_allowed_quantity,Meta: _wholesale_min_order_qty,Meta: source_mrp,Meta: source_current_price
simple,PL-OsVCB8MhLQSX8r-MliH,Anti Slip mat roll 45cm * 500 cm,1,0,visible,Anti Slip mat roll 45cm * 500 cm,,1,379.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVCB8MhLQSX8r-MliH.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsVCGpzXKqWozXDtdlm.jpg",3,3,1199,345.0
simple,PL-OsV99mFoDOdmRVu5-OU,Double Side Peeler,1,0,visible,Double Side Peeler,,1,22.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV99mFoDOdmRVu5-OU.jpg,3,3,99,20.0
simple,PL-OsV8TmqPlc2DeFlxjoW,New unicorn gel shipper,1,0,visible,New unicorn gel shipper,,1,209.0,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV8TmqPlc2DeFlxjoW.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV8VRX8yxA2etCXcgv.jpg",3,3,599,190.0
simple,PL-OsV80WPLdcnZUGaExlJ,Stainless Steel water Bottle,1,0,visible,Stainless Steel water Bottle,,1,170.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV80WPLdcnZUGaExlJ.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV823lQcLfZgmQDMbc.jpg",3,3,999,155.0
simple,PL-OsV7iFa96ihms0JDAXi,Rainbow 🌈 bottle ( 2000 ml ),1,0,visible,Rainbow 🌈 bottle ( 2000 ml ),,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV7iFa96ihms0JDAXi.jpg,3,3,699,145.0
simple,PL-OsV72ZpMRN1j19MarzV,Honey Bee design Silicone Ice Tray (set of 4),1,0,visible,Honey Bee design Silicone Ice Tray (set of 4),,1,176.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV72ZpMRN1j19MarzV.jpg,3,3,599,160.0
simple,PL-OsV72ZpMRN1j19MarzW,Honey Bee design Silicone Ice Tray,1,0,visible,Honey Bee design Silicone Ice Tray,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV72ZpMRN1j19MarzW.jpg,3,3,299,45.0
simple,PL-OsV6k6C118Ui1SnhU7F,Baby Fruit feeder,1,0,visible,Baby Fruit feeder,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV6k6C118Ui1SnhU7F.jpg,3,3,199,45.0
simple,PL-OsV6SNnbpHvi_PEmCt7,Rainbow bottle 300 ml,1,0,visible,Rainbow bottle 300 ml,,1,71.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV6SNnbpHvi_PEmCt7.jpg,3,3,299,65.0
simple,PL-OsV3GnpwWJJKaekvVtq,Fancy Bus shape water bottle,1,0,visible,Fancy Bus shape water bottle,,1,264.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsV3GnpwWJJKaekvVtq.jpg,3,3,999,240.0
simple,PL-OsRF6ueLqhDTBC65xWy,Silicone Icecream mould,1,0,visible,Silicone Icecream mould,,1,71.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsRF6ueLqhDTBC65xWy.jpg,3,3,499,65.0
simple,PL-OsRC9sdmWJRXdlfleJr,Mini Sealing machine with box,1,0,visible,Mini Sealing machine with box,,1,104.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsRC9sdmWJRXdlfleJr.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OsRCKGqen2kZT4bELdc.jpg",3,3,499,95.0
simple,PL-Os5qqGZqURU_QVNTzDJ,New Hair comb massager,1,0,visible,New Hair comb massager,,1,38.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Os5qqGZqURU_QVNTzDJ.jpg,3,3,299,35.0
simple,PL-Os1NFBFfvZi0QLpKG0V,Super Gun with box,1,0,visible,Super Gun with box,,1,275.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Os1NFBFfvZi0QLpKG0V.jpg,3,3,1999,250.0
simple,PL-Os1KBIEGoDqL0_SJkCL,New 3 Blade Fan shape led light,1,0,visible,New 3 Blade Fan shape led light,,1,121.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Os1KBIEGoDqL0_SJkCL.jpg,3,3,799,110.0
simple,PL-Os1JI_tih99mapu6dvQ,4 +1 Fan shape mini led light with box,1,0,visible,4 +1 Fan shape mini led light with box,,1,93.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Os1JI_tih99mapu6dvQ.jpg,3,3,799,85.0
simple,PL-Orqu1GDA5EV7OnAkWJp,New Transparent Washbag (set of 3)in different size original,1,0,visible,New Transparent Washbag (set of 3)in different size original,,1,209.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Orqu1GDA5EV7OnAkWJp.jpg,3,3,799,190.0
simple,PL-Os1AUyo0QnTsGLALMhx,Premium Quality Gel Sipper,1,0,visible,Premium Quality Gel Sipper,,1,99.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Os1AUyo0QnTsGLALMhx.jpg,3,3,599,90.0
simple,PL-OqugJFi5mxDF8AQzrU7,New Insulated classic Lunch bag,1,0,visible,New Insulated classic Lunch bag,,1,55.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrU7.jpg,3,3,199,50.0
simple,PL-OqugJFi5mxDF8AQzrU8,Unique waterproof desktop storage bag,1,0,visible,Unique waterproof desktop storage bag,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrU8.jpg,3,3,499,45.0
simple,PL-OqugJFi5mxDF8AQzrU9,Stylish unique helping handle,1,0,visible,Stylish unique helping handle,,1,143.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrU9.jpg,3,3,499,130.0
simple,PL-OqugJFi5mxDF8AQzrUA,New non slip mat roll for multipurpose (30*300),1,0,visible,New non slip mat roll for multipurpose (30*300),,1,99.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUA.jpg,3,3,499,90.0
simple,PL-OqugJFi5mxDF8AQzrUB,Imported quality Air fryer silicone pots,1,0,visible,Imported quality Air fryer silicone pots,,1,82.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUB.jpg,3,3,499,75.0
simple,PL-OqugJFi5mxDF8AQzrUC,silicone star jali,1,0,visible,silicone star jali,,1,16.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUC.jpg,3,3,99,15.0
simple,PL-OqugJFi5mxDF8AQzrUD,Stylish 3 layer rack for multipurpose,1,0,visible,Stylish 3 layer rack for multipurpose,,1,143.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUD.jpg,3,3,599,130.0
simple,PL-OqugJFi5mxDF8AQzrUE,New Design Alphabetical Ice cube tray,1,0,visible,New Design Alphabetical Ice cube tray,,1,66.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUE.jpg,3,3,499,60.0
simple,PL-OqugJFi5mxDF8AQzrUF,Unique Pop up ice cube tray Big size,1,0,visible,Unique Pop up ice cube tray Big size,,1,82.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUF.jpg,3,3,599,75.0
simple,PL-OqugJFi5mxDF8AQzrUG,New fancy 10 liter foldable travel water jar,1,0,visible,New fancy 10 liter foldable travel water jar,,1,132.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUG.jpg,3,3,599,120.0
simple,PL-OqugJFi5mxDF8AQzrUH,New 5d mat super soft ( Cat design),1,0,visible,New 5d mat super soft ( Cat design),,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUH.jpg,3,3,599,145.0
simple,PL-OqugJFi5mxDF8AQzrUI,New 5d mat super soft ( flower design),1,0,visible,New 5d mat super soft ( flower design),,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUI.jpg,3,3,599,145.0
simple,PL-OqugJFi5mxDF8AQzrUJ,New 5d mat super soft,1,0,visible,New 5d mat super soft,,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUJ.jpg,3,3,599,145.0
simple,PL-OqugJFi5mxDF8AQzrUK,New Towel holder for multipurpose,1,0,visible,New Towel holder for multipurpose,,1,143.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUK.jpg,3,3,599,130.0
simple,PL-OqugJFi5mxDF8AQzrUL,Kids fancy spoon & fork set,1,0,visible,Kids fancy spoon & fork set,,1,104.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OqugJFi5mxDF8AQzrUL.jpg,3,3,499,95.0
simple,PL-OquffIyucYkcZnP-Ntu,Knife set 6 Pcs imported quality,1,0,visible,Knife set 6 Pcs imported quality,,1,214.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OquffIyucYkcZnP-Ntu.jpg,3,3,799,195.0
simple,PL-OkhL8akuvaEED7Yi6IM,Stylish Teddy bear Multi holder ( Single piece),1,0,visible,Stylish Teddy bear Multi holder ( Single piece),,1,19.8,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OkhL8akuvaEED7Yi6IM.jpg,3,3,99,18.0
simple,PL-OkhKwkj4FHttxV7-1fA,New wall joint repair lotion use for multipurpose,1,0,visible,New wall joint repair lotion use for multipurpose,,1,82.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OkhKwkj4FHttxV7-1fA.jpg,3,3,399,75.0
simple,PL-NyUshFwxiBU1y2QHgpi,Shink & Drain cleaner Powder,1,0,visible,Shink & Drain cleaner Powder,,1,30.8,Home & Kitchen,https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr896p3N3Qx4vMVQN.jpg,3,3,199,28.0
simple,PL-Oc_mYIlMjL3zomOjsOe,Instant Cloth Strain Remover,1,0,visible,Instant Cloth Strain Remover,,1,60.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Oc_mYIlMjL3zomOjsOe.jpg,3,3,199,55.0
simple,PL-OdmDQskzm7NpkJmVcq1,Silicone Liquid Soap Brush Dispenser Square shape,1,0,visible,Silicone Liquid Soap Brush Dispenser Square shape,,1,52.8,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OdmDQskzm7NpkJmVcq1.jpg,3,3,199,48.0
simple,PL-OEOT9Wa99YcG6eJaQkv,Round Gas Trolly with Wheel,1,0,visible,Round Gas Trolly with Wheel,,1,93.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEOT9Wa99YcG6eJaQkv.jpg,3,3,399,85.0
simple,PL-Oh3b5gq1AHjWQ7aWuy9,Electric Instant Geyser Model 2,1,0,visible,Electric Instant Geyser Model 2,,1,605.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Oh3b5gq1AHjWQ7aWuy9.jpg,3,3,2999,550.0
simple,PL-NyUshFxRM0XlBaoPOPf,Mini Sealer Electric Battery 🔋 Operated,1,0,visible,Mini Sealer Electric Battery 🔋 Operated,,1,104.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr8QA19OKTQO4pHoS.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OeVLniyHht7KXyF2xsZ.jpg",3,3,399,95.0
simple,PL-Och6dY_PcYWAri1PyH4,Fancy glass sipper with mug,1,0,visible,Fancy glass sipper with mug,,1,82.5,Home & Kitchen,"https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Och6dYaAxh7tNEV6nxA.jpg, https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Och6dYaAxh7tNEV6nxB.jpg",3,3,499,75.0
simple,PL-OdmD4ByYMHV3WoSZ7E3,Mattress lifter Multiple use,1,0,visible,Mattress lifter Multiple use,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OdmD4ByYMHV3WoSZ7E3.jpg,3,3,199,45.0
simple,PL-Och6MGqzIn8_9NpDVt5,New Transparent 3 in 1 bottle,1,0,visible,New Transparent 3 in 1 bottle,,1,231.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-Och6MGqzIn8_9NpDVt6.jpg,3,3,1599,210.0
simple,PL-OcZQHVcpdlzb4egyuEB,Premium 4 in 1 chopping board set,1,0,visible,Premium 4 in 1 chopping board set,,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OcZQHVcpdlzb4egyuEB.jpg,3,3,799,145.0
simple,PL-OcZPXj5f7sROsUFQs8c,6 pcs silicone lid,1,0,visible,6 pcs silicone lid,,1,82.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OcZPXj5f7sROsUFQs8c.jpg,3,3,499,75.0
simple,PL-OcQdWJcqJxY8fwS7ZUo,Imported quality Car back rest,1,0,visible,Imported quality Car back rest,,1,99.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OcQdWJcqJxY8fwS7ZUp.jpg,3,3,299,90.0
simple,PL-OcQcyVUK4Hnla_u14fP,Premium Magnetic curtain hookah,1,0,visible,Premium Magnetic curtain hookah,,1,66.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OcQcyVUK4Hnla_u14fQ.jpg,3,3,399,60.0
simple,PL-OcQc7VeQHNICSuDzuqc,Premium Stainless Steel Sink strainer,1,0,visible,Premium Stainless Steel Sink strainer,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OcQc7VeQHNICSuDzuqd.jpg,3,3,199,45.0
simple,PL-OYoTe8kcrSw70iXgyl9,Premium quality Jumbo Size sipper,1,0,visible,Premium quality Jumbo Size sipper,,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OYoTe8kcrSw70iXgylA.jpg,3,3,999,145.0
simple,PL-ORjEWGCtQbrjwUXrL5o,Stylish Soap Dispenser,1,0,visible,Stylish Soap Dispenser,,1,66.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-ORjEWGCtQbrjwUXrL5o.jpg,3,3,299,60.0
simple,PL-ORjEJT-x_7fU22hniwu,Unique Stain Remover for all cloth,1,0,visible,Unique Stain Remover for all cloth,,1,60.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-ORjEJT-x_7fU22hniwu.jpg,3,3,199,55.0
simple,PL-ORjDnSgpABPGsjHKeT3,Pant clip set of 30,1,0,visible,Pant clip set of 30,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-ORjDnSgpABPGsjHKeT3.jpg,3,3,199,45.0
simple,PL-OQCzLnKym7mxSjUVigZ,Gas Level Indicator,1,0,visible,Gas Level Indicator,,1,121.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OQCzLnKym7mxSjUVigZ.jpg,3,3,499,110.0
simple,PL-OEIUllzeKgClD8pT0-7,Unique Self adhesive Hook Printed,1,0,visible,Unique Self adhesive Hook Printed,,1,5.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEIUllzeKgClD8pT0-7.jpg,3,3,99,5.0
simple,PL-NyUshFwxiBU1y2QHgp6,Door Gaurd,1,0,visible,Door Gaurd,,1,22.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr8-RvbUfLFXp5e-v.jpg,3,3,199,20.0
simple,PL-OEIUQcrafmWMgdDvQUN,Unique Self adhesive Hook,1,0,visible,Unique Self adhesive Hook,,1,3.3,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEIUQcrafmWMgdDvQUN.jpg,3,3,49,3.0
simple,PL-OEOSNNOik39Xhdz8_fu,Electric Instant Geyser Model 1,1,0,visible,Electric Instant Geyser Model 1,,1,770.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEOSNNOik39Xhdz8_fu.jpg,3,3,2999,700.0
simple,PL-OEOPVdWPRIFi7HAlTH1,Handy Chopper 3 Blade with box,1,0,visible,Handy Chopper 3 Blade with box,,1,99.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEOPVdWPRIFi7HAlTH1.jpg,3,3,299,90.0
simple,PL-OEOMs-wQYL72kE2IasB,Water Saving Tap Faucet,1,0,visible,Water Saving Tap Faucet,,1,82.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEOMs-wQYL72kE2IasB.jpg,3,3,349,75.0
simple,PL-OEOF4QuN_bqk4Q402Gl,Genie Ice Cube Maker With Box,1,0,visible,Genie Ice Cube Maker With Box,,1,148.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEOF4QuN_bqk4Q402Gl.jpg,3,3,799,135.0
simple,PL-OEODHgLgVe-QRtpT9cA,Premium 2 in 1 Handy Chopper 650ml,1,0,visible,Premium 2 in 1 Handy Chopper 650ml,,1,132.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEODHgLgVe-QRtpT9cA.jpg,3,3,999,120.0
simple,PL-OEOC6aAiDfuRBkrc3pT,Unique Silicon Body Scrubber Mat,1,0,visible,Unique Silicon Body Scrubber Mat,,1,93.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEOC6aAiDfuRBkrc3pT.jpg,3,3,299,85.0
simple,PL-OEO6L1uVB9v12g9fCm-,Leaf shape stand,1,0,visible,Leaf shape stand,,1,60.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEO6L1uVB9v12g9fCm-.jpg,3,3,199,55.0
simple,PL-OEO-N1jIJIeflYWuAWe,robbit spoon big size ( Set of 2 ),1,0,visible,robbit spoon big size ( Set of 2 ),,1,71.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OEO-N1jIJIeflYWuAWe.jpg,3,3,299,65.0
simple,PL-OENuaNemHna66yAJnXl,Gas Level Indicator,1,0,visible,Gas Level Indicator,,1,121.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-OENuaNemHna66yAJnXl.jpg,3,3,499,110.0
simple,PL-NyUshFwxiBU1y2QHgpG,3 Piece wire brush set,1,0,visible,3 Piece wire brush set,,1,49.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr81niMOM_AzjtCz3.jpg,3,3,275,45.0
simple,PL-O6AteGebRF2TENCJSFV,New Unique Cleaning Multibrush with liquid soap dispenser original 💯,1,0,visible,New Unique Cleaning Multibrush with liquid soap dispenser original 💯,,1,44.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-O6AteGebRF2TENCJSFV.jpg,3,3,200,40.0
simple,PL-NyUshFwxiBU1y2QHgpP,Imported Microfiber cloth,1,0,visible,Imported Microfiber cloth,,1,44.0,Home & Kitchen,https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr83oUesILELVKiSp.jpg,3,3,250,40.0
simple,PL-O78aec7o5OocpL_WhAh,Kapoor Dani,1,0,visible,Kapoor Dani,,1,148.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9l1TXLO7pdHgCYLxB/products/-O78aec7o5OocpL_WhAh.jpg,3,3,999,135.0
simple,PL-NyUshFxRM0XlBaoPOPR,Tap faucet with clip,1,0,visible,Tap faucet with clip,,1,30.8,Home & Kitchen,https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr8J4wuC2_rU75T25.jpg,3,3,199,28.0
simple,PL-NyUshFwxiBU1y2QHgpQ,Automatic Rechargeable Water Dispenser,1,0,visible,Automatic Rechargeable Water Dispenser,,1,159.5,Home & Kitchen,https://cdn.quicksell.co/-Ny9VHOarOf5GNG6Fy48/products/-NyEr83z-CZvz7yIISUS.jpg,3,3,699,145.0
